                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
         1            1            1   Low         CPythonCounter::CPythonCounter                                 |   ../UCC_old/src/CPythonCounter.cpp
        14           18           14   Medium      int CPythonCounter::ReplaceQuote                               |   ../UCC_old/src/CPythonCounter.cpp
        29           37           26   High        int CPythonCounter::CountCommentsSLOC                          |   ../UCC_old/src/CPythonCounter.cpp
        14           15           14   Medium      int CPythonCounter::CountDirectiveSLOC                         |   ../UCC_old/src/CPythonCounter.cpp
         4            4            4   Low         int CPythonCounter::LanguageSpecificProcess                    |   ../UCC_old/src/CPythonCounter.cpp
        31           34           26   High        void CPythonCounter::LSLOC                                     |   ../UCC_old/src/CPythonCounter.cpp
        32           44           32   High        int CPythonCounter::CountComplexity                            |   ../UCC_old/src/CPythonCounter.cpp
        11           14           11   Medium      int CPythonCounter::ParseFunctionName                          |   ../UCC_old/src/CPythonCounter.cpp
         1            1            1   Low         CRubyCounter::CRubyCounter                                     |   ../UCC_old/src/CRubyCounter.cpp
        32           56           30   High        int CRubyCounter::ReplaceQuote                                 |   ../UCC_old/src/CRubyCounter.cpp
         4            4            4   Low         int CRubyCounter::LanguageSpecificProcess                      |   ../UCC_old/src/CRubyCounter.cpp
        28           40           28   High        void CRubyCounter::LSLOC                                       |   ../UCC_old/src/CRubyCounter.cpp
        11           11           11   Medium      int CRubyCounter::ParseFunctionName                            |   ../UCC_old/src/CRubyCounter.cpp
         1            1            1   Low         CSqlCounter::CSqlCounter                                       |   ../UCC_old/src/CSqlCounter.cpp
         5            5            5   Low         int CSqlCounter::ReplaceQuote                                  |   ../UCC_old/src/CSqlCounter.cpp
        33           36           33   High        int CSqlCounter::LanguageSpecificProcess                       |   ../UCC_old/src/CSqlCounter.cpp
        34           44           34   High        void CSqlCounter::LSLOC                                        |   ../UCC_old/src/CSqlCounter.cpp
         1            1            1   Low         CSqlColdFusionCounter::CSqlColdFusionCounter                   |   ../UCC_old/src/CSqlCounter.cpp
         1            1            1   Low         CTagCounter::CTagCounter                                       |   ../UCC_old/src/CTagCounter.cpp
        17           18           17   Medium      int CTagCounter::LanguageSpecificProcess                       |   ../UCC_old/src/CTagCounter.cpp
        21           33           21   High        void CTagCounter::LSLOC                                        |   ../UCC_old/src/CTagCounter.cpp
        13           15           13   Medium      void CTagCounter::CountTagTally                                |   ../UCC_old/src/CTagCounter.cpp
         5            5            5   Low         string CUtil::TrimString                                       |   ../UCC_old/src/CUtil.cpp
         2            2            2   Low         string CUtil::EraseString                                      |   ../UCC_old/src/CUtil.cpp
         2            2            2   Low         string CUtil::ToLower                                          |   ../UCC_old/src/CUtil.cpp
         2            2            2   Low         bool CUtil::CheckBlank                                         |   ../UCC_old/src/CUtil.cpp
         2            2            2   Low         bool CUtil::IsInteger                                          |   ../UCC_old/src/CUtil.cpp
         4           10            4   Low         size_t CUtil::FindStringsCaseInsensitive                       |   ../UCC_old/src/CUtil.cpp
         8            8            8   Low         size_t CUtil::FindCharAvoidEscape                              |   ../UCC_old/src/CUtil.cpp
         6           10            6   Low         size_t CUtil::FindKeyword                                      |   ../UCC_old/src/CUtil.cpp
        13           15           13   Medium      void CUtil::CountTally                                         |   ../UCC_old/src/CUtil.cpp
         3            3            3   Low         string CUtil::ExtractFilename                                  |   ../UCC_old/src/CUtil.cpp
         7           10            7   Low         bool CUtil::ListAllFiles                                       |   ../UCC_old/src/CUtil.cpp
        14           16           14   Medium      bool CUtil::GetFileList                                        |   ../UCC_old/src/CUtil.cpp
        26           29           26   High        bool CUtil::MatchFilename                                      |   ../UCC_old/src/CUtil.cpp
        14           16           14   Medium      int CUtil::MkPath                                              |   ../UCC_old/src/CUtil.cpp
         3            4            3   Low         int CUtil::PrintFileHeader                                     |   ../UCC_old/src/CUtil.cpp
         3            3            3   Low         int CUtil::PrintFileHeaderLine                                 |   ../UCC_old/src/CUtil.cpp
         2            2            2   Low         string CUtil::ConvertClearCaseFile                             |   ../UCC_old/src/CUtil.cpp
